date,l1_category,l1_category_id,l2_category,l2_category_id,store_id,variant_id,variant_name,group_id,selling_price,mrp,in_stock,inventory,is_sponsored,image_url,brand_id,brand
2025-07-25,Munchies,1237,Chips & Crisps,940,30320.0,362400.0,Bingo Mad Angles Achaari Masti Crisps,729488.0,70.0,80.0,True,10.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/e9948240-fc8b-4b37-93c9-208ca433eb3d.png,,Bingo Mad Angles
2025-07-25,Munchies,1237,Chips & Crisps,940,30320.0,626574.0,Sweet Karam Coffee Andhra Spicy Murukku,1905724.0,92.0,99.0,True,3.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/70648e69-60f9-4578-bfff-e44235b750a8.png,,Sweet Karam Coffee
2025-07-25,Munchies,1237,Chips & Crisps,940,30320.0,626568.0,Sweet Karam Coffee Mysore Masala Potato Chips,1905771.0,53.0,59.0,True,2.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/0751f552-20b5-4acf-84d0-838e09daa1b0.png,,Sweet Karam Coffee
2025-07-25,Sweet Tooth,9,Indian Sweets,943,,,,,,,False,,False,,,
2025-07-25,Sweet Tooth,9,Indian Sweets,943,30320.0,570799.0,Original Ghee Mysore Pak by Sweet Karam Coffee,1149826.0,109.0,149.0,True,22.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/0886b60d-0fa7-4794-97d8-bd39741d56fa.png,,Sweet Karam Coffee
2025-07-25,Sweet Tooth,9,Indian Sweets,943,30320.0,512669.0,Motichoor Laddu by Lal,704698.0,116.0,125.0,True,12.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/41b23732-feeb-4121-8815-e7a32c214e61.png,,Lal
2025-07-25,Sweet Tooth,9,Indian Sweets,943,30320.0,427611.0,Malai Peda by Amul,661510.0,114.0,120.0,True,12.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/41004af4-5151-4fb4-a453-6e0b50784471.png,,Amul
2025-07-25,Sweet Tooth,9,Indian Sweets,943,30320.0,478077.0,Milk Cake by Lal,661581.0,159.0,159.0,True,17.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/bf8ae4a8-f252-457c-be4c-c57d5d58efcd.png,,Lal
2025-07-25,Sweet Tooth,9,Indian Sweets,943,30320.0,476267.0,Kaju Katli by Haldiram's,661690.0,211.0,250.0,True,17.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/87c1f435-a696-4efe-aebd-7a9809ec2c68.png,,Haldiram's
2025-07-25,Sweet Tooth,9,Indian Sweets,943,30320.0,391414.0,Classic Besan Laddu by Lal,749354.0,75.0,90.0,True,7.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/50bbfa0e-d80b-4085-bb20-ca68a4b7fde2.png,,Lal
2025-07-25,Sweet Tooth,9,Indian Sweets,943,30320.0,406267.0,Agra Petha by Haldiram's,661498.0,154.0,260.0,True,2.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/0c61bc58-abe1-4b49-a58c-342ebf79da39.png,,Haldiram's
2025-07-25,Sweet Tooth,9,Indian Sweets,943,30320.0,427612.0,Kesar Peda by Amul,661511.0,119.0,125.0,True,3.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/8fa63770-c105-4117-b5e7-4df6f08bff16.png,,Amul
2025-07-25,Sweet Tooth,9,Indian Sweets,943,30320.0,487671.0,Dharwad Peda by Lal,661647.0,136.0,140.0,True,7.0,False,https://cdn.grofers.com/da/cms-assets/cms/product/1f6065e5-19fb-4ba1-a5de-492ce0ec09bf.png,,Lal
